Dates,EMB US Equity,GLD US Equity,TLT US Equity,IYR US Equity,IGIB US Equity,IJH US Equity
2008/1/1,0.000405549,0.67411094,0.059570622,0.06756435,0.004444308,0.193904231
2008/1/2,0.000400972,0.684955672,0.055932245,0.063577544,0.00439896,0.190734606
2008/1/3,0.000403278,0.693429865,0.056076906,0.056136404,0.004835049,0.189118498
2008/1/4,0.000404523,0.693681336,0.059983227,0.05655958,0.005659975,0.18371136
2008/1/7,0.000399031,0.690450305,0.06077439,0.062455447,0.005579306,0.180341521
2008/1/8,0.000395196,0.698337662,0.059975236,0.061643074,0.005513955,0.174134877
2008/1/9,0.000394296,0.695423288,0.060363714,0.063463408,0.00549906,0.174856234
2008/1/10,0.000386328,0.696811906,0.056880314,0.067816262,0.005365732,0.172739458
2008/1/11,0.000384601,0.698835576,0.05656503,0.068920904,0.005400903,0.169892985
2008/1/14,0.000378237,0.703925572,0.055643221,0.066455478,0.005286502,0.168310991
2008/1/15,0.000385622,0.704076145,0.056190167,0.066551774,0.005392903,0.167403389
2008/1/16,0.000399432,0.69396648,0.057703241,0.069849467,0.005572947,0.172508434
2008/1/17,0.000399892,0.692421776,0.061573506,0.07239727,0.005597946,0.167609609
2008/1/18,0.000398001,0.696069364,0.060826203,0.069344761,0.00558507,0.1677766
2008/1/21,0.000398001,0.696069364,0.060826203,0.069344761,0.00558507,0.1677766
2008/1/22,0.00039618,0.69430583,0.061863224,0.070867989,0.005601998,0.166964779
2008/1/23,0.000391035,0.691404017,0.05352621,0.080587767,0.005523335,0.168567635
2008/1/24,0.000378095,0.685381314,0.055953004,0.088134061,0.005304224,0.164849301
2008/1/25,0.00037813,0.686390093,0.058233395,0.084774779,0.005321377,0.164902226
2008/1/28,0.000370114,0.682551796,0.062348352,0.084772626,0.005217111,0.16474
2008/1/29,0.000375564,0.689219654,0.061892058,0.077163976,0.005288323,0.166060424
2008/1/30,0.000375689,0.694219669,0.061321593,0.075035993,0.005270955,0.163776102
2008/1/31,0.000373525,0.686407901,0.066932528,0.074797687,0.00525797,0.166230389
2008/2/1,0.00037755,0.680708761,0.062841756,0.078021961,0.005332924,0.172717049
2008/2/4,0.000380458,0.683763824,0.06264972,0.075112072,0.005367191,0.172726734
2008/2/5,0.000387637,0.687114365,0.064102887,0.071044503,0.005909507,0.171441101
2008/2/6,0.000385271,0.692540212,0.063850607,0.068744823,0.005858624,0.168620463
2008/2/7,0.000380898,0.694066458,0.062681822,0.069111941,0.005765343,0.167993538
2008/2/8,0.000377685,0.699712572,0.065561315,0.06096616,0.005759566,0.167622703
2008/2/11,0.000756778,0.703907166,0.065283646,0.055458432,0.005789476,0.168804502
2008/2/12,0.000768485,0.698935535,0.068016125,0.054049446,0.005871008,0.1723594
2008/2/13,0.00076657,0.696740337,0.068405641,0.055041649,0.005830588,0.173215215
2008/2/14,0.000766002,0.698409029,0.074957912,0.049391809,0.005814456,0.170660793
2008/2/15,0.000768319,0.694828031,0.075618201,0.0523847,0.005827813,0.170572937
2008/2/18,0.000768319,0.694828031,0.075618201,0.0523847,0.005827813,0.170572937
2008/2/19,0.000750905,0.702864885,0.068953564,0.053721096,0.005700131,0.16800942
2008/2/20,0.000734138,0.699625643,0.068549861,0.058888785,0.005936784,0.166264788
2008/2/21,0.000731909,0.698341755,0.068466493,0.062457508,0.005960225,0.16404211
2008/2/22,0.000732913,0.697776391,0.066245054,0.064825621,0.00593195,0.16448807
2008/2/25,0.000728425,0.696828437,0.066397643,0.063715493,0.005870703,0.166459298
2008/2/26,0.000720729,0.69605542,0.068259482,0.062948021,0.005825197,0.166191152
2008/2/27,0.000716737,0.698721437,0.066837996,0.063885642,0.005786019,0.164052168
2008/2/28,0.001422969,0.703079964,0.063342315,0.064975732,0.005775746,0.161403274
2008/2/29,0.001439761,0.710677896,0.060530435,0.063844497,0.006229997,0.157277415
2008/3/3,0.001421711,0.721619191,0.058320613,0.056952176,0.006153533,0.155532777
